"Var1"	"Freq"
"00010"	192
"00020"	90
"00030"	80
"00040"	95
"00051"	102
"00052"	77
"00053"	78
"00061"	18
"00062"	24
"00071"	129
"00072"	27
"00100"	57
"00120"	48
"00130"	21
"00140"	168
"00190"	312
"00230"	467
"00232"	21
"00240"	292
"00250"	90
"00260"	96
"00270"	108
"00280"	129
"00290"	24
"00300"	9
"00310"	126
"00330"	159
"00340"	83
"00350"	119
"00360"	51
"00380"	123
"00400"	15
"00410"	66
"00430"	30
"00450"	47
"00460"	21
"00471"	12
"00472"	3
"00480"	150
"00500"	158
"00510"	146
"00511"	48
"00512"	87
"00514"	138
"00520"	137
"00524"	15
"00531"	57
"00532"	66
"00533"	45
"00534"	78
"00561"	150
"00562"	171
"00563"	74
"00564"	235
"00565"	106
"00590"	175
"00591"	88
"00592"	58
"00600"	120
"00601"	78
"00603"	42
"00604"	45
"00620"	116
"00630"	51
"00640"	93
"00650"	90
"00670"	54
"00730"	11
"00740"	27
"00750"	17
"00760"	72
"00770"	48
"00780"	6
"00785"	9
"00790"	30
"00830"	191
"00860"	126
"00900"	45
"00910"	69
"00920"	39
"00970"	65
"00980"	212
"00982"	219
"00983"	156
"01040"	63
"01100"	3256
"02010"	132
"03008"	224
"03010"	266
"03013"	442
"03015"	243
"03018"	201
"03020"	84
"03022"	106
"03030"	107
"03040"	380
"03050"	129
"03060"	69
"03320"	210
"03410"	99
"03420"	132
"03430"	69
"03440"	78
"03450"	36
"04010"	795
"04012"	261
"04020"	530
"04060"	792
"04062"	565
"04070"	234
"04080"	811
"04110"	371
"04114"	334
"04115"	200
"04120"	397
"04122"	30
"04130"	108
"04140"	102
"04141"	481
"04142"	355
"04144"	599
"04145"	452
"04146"	237
"04150"	156
"04210"	260
"04260"	219
"04270"	337
"04310"	449
"04320"	72
"04330"	141
"04340"	168
"04350"	252
"04360"	386
"04370"	225
"04380"	382
"04510"	599
"04512"	254
"04514"	398
"04520"	219
"04530"	388
"04540"	261
"04610"	205
"04612"	221
"04614"	51
"04620"	306
"04621"	173
"04622"	209
"04623"	163
"04630"	465
"04640"	262
"04650"	403
"04660"	323
"04662"	224
"04664"	235
"04666"	282
"04670"	348
"04672"	143
"04710"	66
"04720"	209
"04722"	381
"04730"	201
"04740"	1158
"04742"	153
"04744"	87
"04810"	636
"04910"	411
"04912"	301
"04914"	257
"04916"	303
"04920"	201
"04930"	144
"04940"	128
"04950"	75
"04960"	126
"04962"	132
"04964"	69
"04966"	81
"04970"	259
"04971"	222
"04972"	298
"04973"	129
"04974"	240
"04975"	136
"04976"	213
"04977"	69
"05010"	446
"05012"	309
"05014"	158
"05016"	494
"05020"	104
"05100"	206
"05110"	162
"05120"	203
"05130"	165
"05131"	183
"05140"	215
"05142"	312
"05143"	105
"05144"	153
"05145"	393
"05146"	315
"05150"	164
"05160"	402
"05200"	978
"05210"	186
"05211"	210
"05212"	210
"05213"	156
"05214"	195
"05215"	267
"05216"	87
"05217"	165
"05218"	213
"05219"	126
"05220"	219
"05221"	171
"05222"	255
"05223"	162
"05310"	89
"05320"	155
"05322"	169
"05323"	272
"05330"	110
"05332"	120
"05340"	105
"05410"	248
"05412"	221
"05414"	269
"05416"	207
